epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.325,2.84648,2.12536,2.63375,0.01024,0.10208,0.00281,0.00058,3.46308,14.5255,4.7978,0.00331169,0.00331169,0.0701948
2,158.037,2.22786,1.72791,2.0218,0.4011,0.36478,0.26662,0.09658,2.37358,2.44872,2.11272,0.00657924,0.00657924,0.040129
3,237.576,2.04625,1.60617,1.84494,0.46164,0.43374,0.38367,0.13353,2.20903,2.19022,1.98097,0.00978078,0.00978078,0.00999723
4,300.383,1.88494,1.53588,1.73729,0.15127,0.46988,0.12062,0.04821,2.18111,3.26551,1.98314,0.009703,0.009703,0.009703
5,363.168,1.82489,1.46945,1.67516,0.16362,0.39445,0.12813,0.05301,2.04122,2.28789,1.80778,0.009604,0.009604,0.009604
6,426.692,1.77579,1.4566,1.64607,0.61232,0.54088,0.56054,0.27776,1.72686,1.60269,1.62852,0.009505,0.009505,0.009505
7,523.05,1.72949,1.43262,1.60477,0.65771,0.63359,0.64634,0.33645,1.60427,1.30905,1.51324,0.009406,0.009406,0.009406
8,628.747,1.69233,1.39363,1.57639,0.53973,0.59669,0.51779,0.25545,1.70114,1.5333,1.64836,0.009307,0.009307,0.009307
9,729.647,1.65788,1.36264,1.57533,0.63641,0.62943,0.62874,0.33464,1.5479,1.39927,1.49049,0.009208,0.009208,0.009208
10,832.581,1.63131,1.3289,1.53882,0.60435,0.61749,0.58754,0.32508,1.49667,1.33998,1.47413,0.009109,0.009109,0.009109
11,935.398,1.60319,1.30447,1.52998,0.64774,0.60978,0.62481,0.34531,1.54609,1.35718,1.49509,0.00901,0.00901,0.00901
12,1038.18,1.57423,1.28064,1.49306,0.65244,0.632,0.64573,0.3722,1.42131,1.26042,1.40436,0.008911,0.008911,0.008911
13,1150.81,1.57779,1.27779,1.49855,0.67693,0.63829,0.66171,0.37202,1.49377,1.21548,1.445,0.008812,0.008812,0.008812
14,1253.35,1.58817,1.29179,1.50862,0.67004,0.61952,0.63967,0.35816,1.52104,1.26336,1.49228,0.008713,0.008713,0.008713
15,1362.75,1.54317,1.24566,1.47308,0.65287,0.6448,0.65594,0.36828,1.47053,1.34491,1.4381,0.008614,0.008614,0.008614
