Metric,Value,Description
Overall Accuracy,0.13745704467353953,总体准确率
Precision (Macro),0.07055158512002932,宏平均精确率
Recall (Macro),0.16304108987035815,宏平均召回率
F1-Score (Macro),0.09401067734401065,宏平均F1分数
Precision (Micro),0.13745704467353953,微平均精确率
Recall (Micro),0.13745704467353953,微平均召回率
F1-Score (Micro),0.13745704467353953,微平均F1分数
Precision (Weighted),0.0588329753329215,加权平均精确率
Recall (Weighted),0.13745704467353953,加权平均召回率
F1-Score (Weighted),0.07896384356865456,加权平均F1分数
mAP50,0.20341716559135034,mAP50指标
mAP75,0.20341716559135034,mAP75指标
mAP50-95,0.2034171655913503,mAP50-95指标
mAP (All),0.20341716559135034,总体mAP指标
File Size (MB),1.393838882446289,模型文件大小
GFLOPs,0.0007224320000000001,计算复杂度
FPS,2862.84981024927,推理速度
Avg Latency (ms),0.3493022918701172,平均延迟
